TVchannel,minfrequency,maxfrequency
13,470000,476000
14,476000,482000
15,482000,488000
16,488000,494000
17,494000,500000
18,500000,506000
19,506000,512000
20,512000,518000
21,518000,524000
22,524000,530000
23,530000,536000
24,536000,542000
25,542000,548000
26,548000,554000
27,554000,560000
28,560000,566000
29,566000,572000
30,572000,578000
31,578000,584000
32,584000,590000
33,590000,596000
34,596000,602000
35,602000,608000
36,608000,614000
37,614000,620000
38,620000,626000
39,626000,632000
40,632000,638000
41,638000,644000
42,644000,650000
43,650000,656000
44,656000,662000
45,662000,668000
46,668000,674000
47,674000,680000
48,680000,686000
49,686000,692000
50,692000,698000
51,698000,704000
52,704000,710000
53,710000,714000